구분	일자 일시	차량구분	위도	경도
RM	2024-11-30 00:02:43.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:44.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:45.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:46.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:47.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:48.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:49.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:50.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:51.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:52.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:53.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:54.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:55.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:56.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:57.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:58.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:02:59.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:03:00.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:03:01.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:03:02.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:03:03.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:03:04.00	1222985050	37.651092	126.888728
RM	2024-11-30 00:03:05.00	1222985050	37.651028	126.888776
RM	2024-11-30 00:03:06.00	1222985050	37.650932	126.888816
RM	2024-11-30 00:03:07.00	1222985050	37.650876	126.888832
RM	2024-11-30 00:03:08.00	1222985050	37.650820	126.888856
RM	2024-11-30 00:03:09.00	1222985050	37.650760	126.888872
RM	2024-11-30 00:03:10.00	1222985050	37.650700	126.888904
RM	2024-11-30 00:03:11.00	1222985050	37.650652	126.888920
RM	2024-11-30 00:03:12.00	1222985050	37.650612	126.888952
RM	2024-11-30 00:03:13.00	1222985050	37.650568	126.888976
RM	2024-11-30 00:03:14.00	1222985050	37.650520	126.889000
RM	2024-11-30 00:03:15.00	1222985050	37.650460	126.889040
RM	2024-11-30 00:03:16.00	1222985050	37.650388	126.889080
RM	2024-11-30 00:03:17.00	1222985050	37.650308	126.889136
RM	2024-11-30 00:03:18.00	1222985050	37.650224	126.889176
RM	2024-11-30 00:03:19.00	1222985050	37.650136	126.889224
RM	2024-11-30 00:03:20.00	1222985050	37.650044	126.889280
RM	2024-11-30 00:03:21.00	1222985050	37.649956	126.889328
RM	2024-11-30 00:03:22.00	1222985050	37.649868	126.889384
RM	2024-11-30 00:03:23.00	1222985050	37.649772	126.889440
RM	2024-11-30 00:03:24.00	1222985050	37.649680	126.889504
RM	2024-11-30 00:03:25.00	1222985050	37.649584	126.889552
RM	2024-11-30 00:03:26.00	1222985050	37.649492	126.889600
RM	2024-11-30 00:03:27.00	1222985050	37.649392	126.889656
RM	2024-11-30 00:03:28.00	1222985050	37.649288	126.889712
RM	2024-11-30 00:03:29.00	1222985050	37.649184	126.889768
RM	2024-11-30 00:03:30.00	1222985050	37.649084	126.889824
RM	2024-11-30 00:03:31.00	1222985050	37.649000	126.889880
